No,ID,MODE,Choice,Gender,Nat,Age,Job,Edu,Hinc,Hcar,DEP,TPP,LUG,ACCM,WCON,DMale,DFemale,Dvien,DNVien,DFNer,Cost_MT,Cost_Car,Cost_Taxi,Cost_Bus,Cost_VCAT,Park_MT,Park_Car,Park_Taxi,Park_Bus,Park_VCAT,Vehtime_MT,Vehtime_Car,Vehtime_Taxi,Vehtime_Bus,Vehtime_VCAT,Delay_MT,Delay_Car,Delay_Taxi,Delay_Bus,Delay_VCAT,Acctime_MT,Acctime_Car,Acctime_Taxi,Acctime_Bus,Acctime_VCAT,Wtime_MT,Wtime_Car,Wtime_Taxi,Wtime_Bus,Wtime_VCAT,Safe_MT,Safe_Car,Safe_Taxi,Safe_Bus,Safe_VCAT,Trans_MT,Trans_Car,Trans_Taxi,Trans_Bus,Trans_VCAT,WC_MT,WC_Car,WC_Taxi,WC_Bus,WC_VCAT,ChIn_MT,ChIn_Car,ChIn_Taxi,ChIn_Bus,ChIn_VCAT
11,6,Airport Limousine Bus,5,2,3,5,5,4,5,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,34000,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,10,0,0,0,0,15,0,0,0,0,40,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
12,6,Airport Limousine Bus,5,2,3,5,5,4,5,1,1,2,1,2,2,0,1,0,0,1,0,0,0,0,34000,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,15,0,0,0,0,20,0,0,0,0,50,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1
13,7,Motorbike,1,1,3,5,5,3,8,1,1,1,2,2,1,1,0,0,0,1,16500,0,0,0,0,5000,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
14,7,Airport Limousine Bus,5,1,3,5,5,3,8,1,1,2,2,1,2,1,0,0,0,1,0,0,0,0,34000,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,50,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1
15,8,Taxi,3,1,3,1,6,2,3,0,1,1,2,2,1,1,0,0,0,1,0,0,66000,0,0,0,0,0,0,0,0,0,25,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
16,8,Airport Bus,4,1,3,1,6,2,3,0,1,2,2,1,2,1,0,0,0,1,0,0,0,19000,0,0,0,0,0,0,0,0,0,30,0,0,0,0,10,0,0,0,0,15,0,0,0,0,20,0,0,0,0,120,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0
17,9,Taxi,3,2,3,3,3,2,5,1,2,1,2,2,1,0,1,0,0,1,0,0,66000,0,0,0,0,0,0,0,0,0,25,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
18,9,Airport Bus,4,2,3,3,3,2,5,1,2,2,2,1,2,0,1,0,0,1,0,0,0,19000,0,0,0,0,0,0,0,0,0,30,0,0,0,0,10,0,0,0,0,15,0,0,0,0,20,0,0,0,0,120,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0
19,10,Taxi,3,2,3,2,4,3,7,1,1,1,1,1,1,0,1,0,0,1,0,0,66000,0,0,0,0,0,0,0,0,0,25,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
20,10,Airport Bus,4,2,3,2,4,3,7,1,1,2,1,2,2,0,1,0,0,1,0,0,0,19000,0,0,0,0,0,0,0,0,0,30,0,0,0,0,10,0,0,0,0,15,0,0,0,0,20,0,0,0,0,90,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0
21,11,Airport Bus,4,2,3,2,1,3,8,1,1,1,2,2,1,0,1,0,0,1,0,0,0,19000,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,0,0,0,0,120,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0
22,11,Taxi,3,2,3,2,1,3,8,1,1,2,2,1,1,0,1,0,0,1,0,0,66000,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
23,12,Airport Bus,4,2,3,2,5,2,8,1,2,1,1,1,1,0,1,0,0,1,0,0,0,19000,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,15,0,0,0,0,20,0,0,0,0,90,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0
24,12,Airport Limousine Bus,5,2,3,2,5,2,8,1,2,2,1,2,2,0,1,0,0,1,0,0,0,0,34000,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,15,0,0,0,0,20,0,0,0,0,50,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1
25,13,Airport Limousine Bus,5,2,3,2,6,4,6,1,1,1,2,2,1,0,1,0,0,1,0,0,0,0,29000,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,0,0,0,0,50,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
26,13,Airport Bus,4,2,3,2,6,4,6,1,1,2,2,1,1,0,1,0,0,1,0,0,0,19000,0,0,0,0,0,0,0,0,0,30,0,0,0,0,10,0,0,0,0,10,0,0,0,0,20,0,0,0,0,90,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0
27,14,Taxi,3,2,3,1,3,2,8,1,1,1,2,2,1,0,1,0,0,1,0,0,66000,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
28,14,Airport Limousine Bus,5,2,3,1,3,2,8,1,1,2,2,1,1,0,1,0,0,1,0,0,0,0,29000,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,15,0,0,0,0,20,0,0,0,0,40,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
29,15,Taxi,3,2,3,2,1,2,8,1,1,1,1,1,1,0,1,0,0,1,0,0,66000,0,0,0,0,0,0,0,0,0,25,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
30,15,Taxi,3,2,3,2,1,2,8,1,1,2,1,2,2,0,1,0,0,1,0,0,66000,0,0,0,0,0,0,0,0,0,25,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
31,16,Airport Limousine Bus,5,1,3,5,8,3,8,1,2,1,2,2,1,1,0,0,0,1,0,0,0,0,29000,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,0,0,0,0,50,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
32,16,Airport Limousine Bus,5,1,3,5,8,3,8,1,2,2,2,1,1,1,0,0,0,1,0,0,0,0,29000,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,15,0,0,0,0,20,0,0,0,0,40,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
33,17,Airport Limousine Bus,5,2,3,2,2,2,7,0,1,1,2,2,1,0,1,0,0,1,0,0,0,0,29000,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,0,0,0,0,50,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
34,17,Airport Bus,4,2,3,2,2,2,7,0,1,2,2,1,1,0,1,0,0,1,0,0,0,19000,0,0,0,0,0,0,0,0,0,30,0,0,0,0,10,0,0,0,0,10,0,0,0,0,20,0,0,0,0,90,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0
35,18,Taxi,3,2,3,3,1,4,2,1,1,1,2,2,1,0,1,0,0,1,0,0,66000,0,0,0,0,0,0,0,0,0,25,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
36,18,Airport Bus,4,2,3,3,1,4,2,1,1,2,2,1,2,0,1,0,0,1,0,0,0,19000,0,0,0,0,0,0,0,0,0,30,0,0,0,0,10,0,0,0,0,15,0,0,0,0,20,0,0,0,0,120,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0
37,19,Airport Limousine Bus,5,1,1,1,6,1,1,1,1,1,1,1,2,1,0,1,0,0,0,0,0,0,29000,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,10,0,0,0,0,15,0,0,0,0,40,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1
38,19,Airport Bus,4,1,1,1,6,1,1,1,1,2,1,2,2,1,0,1,0,0,0,0,0,19000,0,0,0,0,0,0,0,0,0,30,0,0,0,0,10,0,0,0,0,15,0,0,0,0,20,0,0,0,0,120,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0
39,20,Airport Bus,4,1,3,5,2,2,8,1,1,1,2,2,1,1,0,0,0,1,0,0,0,19000,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,15,0,0,0,0,20,0,0,0,0,90,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0
40,20,Airport Limousine Bus,5,1,3,5,2,2,8,1,1,2,2,1,2,1,0,0,0,1,0,0,0,0,34000,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,50,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1
41,21,Airport Limousine Bus,5,2,3,2,3,2,8,1,2,1,2,2,1,0,1,0,0,1,0,0,0,0,29000,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,0,0,0,0,50,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
42,21,Taxi,3,2,3,2,3,2,8,1,2,2,2,1,1,0,1,0,0,1,0,0,66000,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
43,22,Airport Limousine Bus,5,1,3,3,5,3,7,1,2,1,1,1,2,1,0,0,0,1,0,0,0,0,29000,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,10,0,0,0,0,15,0,0,0,0,40,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1
44,22,Taxi,3,1,3,3,5,3,7,1,2,2,1,2,2,1,0,0,0,1,0,0,66000,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
45,23,Airport Limousine Bus,5,1,1,4,5,2,3,0,1,1,2,2,1,1,0,1,0,0,0,0,0,0,29000,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,0,0,0,0,50,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
46,23,Taxi,3,1,1,4,5,2,3,0,1,2,2,1,1,1,0,1,0,0,0,0,66000,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
47,24,Taxi,3,2,2,1,6,1,1,1,2,1,2,2,1,0,1,0,1,0,0,0,66000,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
48,24,Airport Limousine Bus,5,2,2,1,6,1,1,1,2,2,2,1,1,0,1,0,1,0,0,0,0,0,29000,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,15,0,0,0,0,20,0,0,0,0,40,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
49,25,Taxi,3,2,1,3,1,2,5,0,2,1,2,2,1,0,1,1,0,0,0,0,66000,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
50,25,Airport Bus,4,2,1,3,1,2,5,0,2,2,2,1,1,0,1,1,0,0,0,0,0,19000,0,0,0,0,0,0,0,0,0,30,0,0,0,0,10,0,0,0,0,10,0,0,0,0,20,0,0,0,0,90,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0
51,26,Airport Limousine Bus,5,2,2,3,1,2,2,1,1,1,2,2,1,0,1,0,1,0,0,0,0,0,29000,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,0,0,0,0,50,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
52,26,Airport Bus,4,2,2,3,1,2,2,1,1,2,2,1,1,0,1,0,1,0,0,0,0,19000,0,0,0,0,0,0,0,0,0,30,0,0,0,0,10,0,0,0,0,10,0,0,0,0,20,0,0,0,0,90,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0
53,27,Airport Bus,4,2,2,2,1,2,2,1,2,1,2,2,1,0,1,0,1,0,0,0,0,19000,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,0,0,0,0,120,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0
54,27,Private Car,2,2,2,2,1,2,2,1,2,2,2,1,1,0,1,0,1,0,0,42000,0,0,0,0,10000,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
55,28,Taxi,3,1,1,2,5,4,6,1,1,1,2,2,1,1,0,1,0,0,0,0,66000,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
56,28,Private Car,2,1,2,2,5,4,6,1,1,2,2,1,1,1,0,0,1,0,0,42000,0,0,0,0,10000,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
57,29,Taxi,3,2,1,2,6,4,5,1,1,1,2,2,1,0,1,1,0,0,0,0,66000,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
58,29,Airport Limousine Bus,5,2,1,2,6,4,5,1,1,2,2,1,1,0,1,1,0,0,0,0,0,0,29000,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,15,0,0,0,0,20,0,0,0,0,40,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
59,30,Airport Bus,4,1,2,3,1,3,5,1,1,1,2,2,1,1,0,0,1,0,0,0,0,19000,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,0,0,0,0,120,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0
60,30,Private Car,2,1,2,3,1,3,5,1,1,2,2,1,1,1,0,0,1,0,0,42000,0,0,0,0,10000,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
61,31,Airport Limousine Bus,5,2,1,3,3,3,8,1,1,1,2,2,1,0,1,1,0,0,0,0,0,0,29000,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,0,0,0,0,50,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
62,31,Airport Limousine Bus,5,2,1,3,3,3,8,1,1,2,2,1,1,0,1,1,0,0,0,0,0,0,29000,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,15,0,0,0,0,20,0,0,0,0,40,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
63,32,Private Car,2,1,2,3,1,4,4,1,1,1,2,2,1,1,0,0,1,0,0,42000,0,0,0,0,10000,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
64,32,Airport Bus,4,1,2,3,1,4,4,1,1,2,2,1,1,1,0,0,1,0,0,0,0,19000,0,0,0,0,0,0,0,0,0,30,0,0,0,0,10,0,0,0,0,10,0,0,0,0,20,0,0,0,0,90,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0
65,33,Airport Limousine Bus,5,1,1,5,1,4,7,1,1,1,2,2,1,1,0,1,0,0,0,0,0,0,29000,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,0,0,0,0,50,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
66,33,Private Car,2,1,1,5,1,4,7,1,1,2,2,1,1,1,0,1,0,0,0,42000,0,0,0,0,10000,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
67,34,Airport Limousine Bus,5,1,1,5,2,4,8,1,1,1,2,2,1,1,0,1,0,0,0,0,0,0,29000,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,0,0,0,0,50,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
68,34,Airport Bus,4,1,1,5,2,4,8,1,1,2,2,1,1,1,0,1,0,0,0,0,0,19000,0,0,0,0,0,0,0,0,0,30,0,0,0,0,10,0,0,0,0,10,0,0,0,0,20,0,0,0,0,90,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0
69,35,Private Car,2,2,1,2,5,3,8,1,1,1,2,2,1,0,1,1,0,0,0,42000,0,0,0,0,10000,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
70,35,Taxi,3,2,1,2,5,3,8,1,1,2,2,1,1,0,1,1,0,0,0,0,66000,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
71,36,Airport Limousine Bus,5,2,1,2,6,3,4,1,1,1,2,2,1,0,1,1,0,0,0,0,0,0,29000,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,0,0,0,0,50,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
72,36,Private Car,2,2,1,2,6,3,4,1,1,2,2,1,1,0,1,1,0,0,0,42000,0,0,0,0,10000,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
73,37,Airport Bus,4,2,1,5,2,3,3,1,1,1,2,2,1,0,1,1,0,0,0,0,0,19000,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,0,0,0,0,120,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0
74,37,Taxi,3,2,1,5,2,3,3,1,1,2,2,1,1,0,1,1,0,0,0,0,66000,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
75,38,Taxi,3,2,1,2,1,1,3,0,1,1,1,1,1,0,1,1,0,0,0,0,66000,0,0,0,0,0,0,0,0,0,25,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
76,38,Airport Bus,4,2,1,2,1,1,3,0,1,2,1,2,2,0,1,1,0,0,0,0,0,19000,0,0,0,0,0,0,0,0,0,30,0,0,0,0,10,0,0,0,0,15,0,0,0,0,20,0,0,0,0,90,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0
77,39,Airport Limousine Bus,5,2,2,2,7,2,2,0,2,1,2,2,1,0,1,0,1,0,0,0,0,0,29000,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,0,0,0,0,50,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
78,39,Taxi,3,2,2,2,7,2,2,0,2,2,2,1,1,0,1,0,1,0,0,0,66000,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
79,40,Airport Limousine Bus,5,2,2,2,1,2,6,0,1,1,2,2,1,0,1,0,1,0,0,0,0,0,29000,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,0,0,0,0,50,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
80,40,Airport Bus,4,2,2,2,1,2,6,0,1,2,2,1,1,0,1,0,1,0,0,0,0,19000,0,0,0,0,0,0,0,0,0,30,0,0,0,0,10,0,0,0,0,10,0,0,0,0,20,0,0,0,0,90,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0
81,41,Taxi,3,2,2,2,5,2,4,0,1,1,2,2,1,0,1,0,1,0,0,0,66000,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
82,41,Taxi,3,2,2,2,5,2,4,0,1,2,2,1,1,0,1,0,1,0,0,0,66000,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
83,42,Airport Limousine Bus,5,2,1,2,1,2,4,0,2,1,2,2,1,0,1,1,0,0,0,0,0,0,29000,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,0,0,0,0,50,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
84,42,Airport Bus,4,2,1,2,1,2,4,0,2,2,2,1,1,0,1,1,0,0,0,0,0,19000,0,0,0,0,0,0,0,0,0,30,0,0,0,0,10,0,0,0,0,10,0,0,0,0,20,0,0,0,0,90,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0
85,43,Airport Bus,4,1,2,2,6,4,8,1,2,1,2,2,1,1,0,0,1,0,0,0,0,19000,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,0,0,0,0,120,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0
86,43,Airport Bus,4,1,2,2,6,4,8,1,2,2,2,1,1,1,0,0,1,0,0,0,0,19000,0,0,0,0,0,0,0,0,0,30,0,0,0,0,10,0,0,0,0,10,0,0,0,0,20,0,0,0,0,90,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0
87,44,Airport Limousine Bus,5,1,2,1,6,1,5,1,1,1,2,2,1,1,0,0,1,0,0,0,0,0,29000,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,10,0,0,0,0,20,0,0,0,0,50,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
