No,ID,Scenario,Mode,Choice,Nationality,Vientiane,Gender,Mar,Age,Job,Edu,Hinc,Hcar,Hmem,Carown,AirClass,Dependency,WeaCon,Tpp,ChLug,Accom,TCost_MT,TCost_Car,TCost_Taxi,TCost_Bus,TCost_VCAT,VehCost_MT, VehCost_Car ,VehCost_Taxi ,VehCost_Bus , VehCost_VCAT ,Ttime_MT,Ttime_Car, Ttime_Taxi ,Ttime_Bus,Ttime_VCAT,Vehtime_MT,Vehtime_Car,Vehtime_Taxi,Vehtime_Bus,Vehtime_VCAT,Accesstime_MT,Accesstime_Car,Accesstime_Taxi,Accesstime_Bus,Accesstime_VCAT,Wtime_MT,Wtime_Car,Wtime_Taxi,Wtime_Bus,Wtime_VCAT,Delay_MT,Delay_Car,Delay_Taxi,Delay_Bus,Delay_VCAT,Safe_MT,Safe_Car,Safe_Taxi,Safe_Bus,Safe_VCAT,ParkFee_MT, ParkFee_Car , ParkFee_Taxi , ParkFee_Bus , ParkFee_VCAT ,NoTranfer_MT,NoTranfer_Car,NoTranfer_Taxi,NoTranfer_Bus,NoTranfer_VCAT
13,7,S7,Motorbike,1,3,3,1,1,5,4,3,3,3,3,1,1,1,0,0,0,0,16500,42000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,60,48,20,25,25,35,18,0,0,0,10,10,0,0,0,20,20,0,10,10,0,0,90,120,120,90,50,5000,10000,0,0,0,0,0,0,1,0
14,7,S8,VCAT,5,3,3,1,1,5,4,3,3,3,3,1,1,1,0,0,1,1,16500,42000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,75,53,20,25,25,35,18,0,0,0,15,15,0,0,0,20,20,10,10,10,10,0,90,120,120,120,50,5000,10000,0,0,0,0,0,0,1,0
15,8,S6,Taxi,3,3,3,1,0,1,3,2,1,0,3,0,1,1,1,1,0,0,16500,42000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,60,48,20,25,25,35,18,0,0,0,10,10,0,0,0,20,20,0,10,10,0,0,90,120,120,90,50,5000,10000,0,0,0,0,0,0,1,0
16,8,S6,Bus,4,3,3,1,0,1,3,2,1,0,3,0,1,1,0,0,0,0,16500,42000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,75,53,20,25,25,35,18,0,0,0,10,15,0,0,0,20,20,10,10,10,10,0,90,120,120,120,50,5000,10000,0,0,0,0,0,0,1,0
17,9,S6,Taxi,3,3,3,0,1,3,2,2,2,1,2,1,1,0,1,1,0,0,16500,42000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,60,48,20,25,25,35,18,0,0,0,10,10,0,0,0,20,20,0,10,10,0,0,90,120,120,90,50,5000,10000,0,0,0,0,0,0,1,0
18,9,S6,Bus,4,3,3,0,1,3,2,2,2,1,2,1,1,0,0,0,0,0,16500,42000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,75,53,20,25,25,35,18,0,0,0,10,15,0,0,0,20,20,10,10,10,10,0,90,120,120,120,50,5000,10000,0,0,0,0,0,0,1,0
19,10,S5,Taxi,3,3,3,0,0,2,4,3,3,1,1,1,1,1,1,1,1,1,16500,42000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,65,43,20,25,25,35,18,0,0,0,15,10,0,0,0,20,15,0,10,10,0,0,120,90,90,120,40,5000,10000,0,0,0,0,0,0,1,0
20,10,S6,Bus,4,3,3,0,0,2,4,3,3,1,1,1,1,1,0,0,0,0,16500,42000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,75,53,20,25,25,35,18,0,0,0,10,15,0,0,0,20,20,10,10,10,10,0,120,90,90,90,50,5000,10000,0,0,0,0,0,0,1,0
21,11,S3,Bus,4,3,3,0,0,2,1,3,3,1,3,1,1,1,0,0,0,0,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,60,53,20,25,25,35,23,0,0,0,15,10,0,0,0,20,20,0,0,0,0,0,120,120,120,120,50,5000,10000,0,0,0,0,0,0,1,0
22,11,S4,Taxi,3,3,3,0,0,2,1,3,3,1,3,1,1,1,1,0,0,1,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,75,58,20,25,25,35,23,0,0,0,15,15,0,0,0,20,20,10,0,0,10,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,0
23,12,S6,Bus,4,3,3,0,0,2,4,2,3,1,4,0,1,0,1,0,0,0,16500,42000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,65,43,20,25,25,35,18,0,0,0,10,10,0,0,0,20,15,0,10,10,0,0,120,90,90,120,40,5000,10000,0,0,0,0,0,0,1,0
24,12,S7,VCAT,5,3,3,0,0,2,4,2,3,1,4,0,1,0,0,0,1,0,16500,42000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,75,53,20,25,25,35,18,0,0,0,15,15,0,0,0,20,20,10,10,10,10,0,120,90,90,90,50,5000,10000,0,0,0,0,0,0,1,0
25,13,S2,VCAT,5,3,3,0,0,2,3,4,3,1,2,1,1,1,1,1,0,0,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,60,53,20,25,25,35,23,0,0,0,10,10,0,0,0,20,20,0,0,0,0,0,120,120,120,120,50,5000,10000,0,0,0,0,0,0,1,0
26,13,S4,Bus,4,3,3,0,0,2,3,4,3,1,2,1,1,1,0,0,0,1,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,75,58,20,25,25,35,23,0,0,0,10,15,0,0,0,20,20,10,0,0,10,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,0
27,14,S2,Taxi,3,3,3,0,0,1,2,2,3,3,5,0,1,1,1,1,0,0,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,60,53,20,25,25,35,23,0,0,0,10,10,0,0,0,20,20,0,0,0,0,0,120,120,120,120,50,5000,10000,0,0,0,0,0,0,1,0
28,14,S4,VCAT,5,3,3,0,0,1,2,2,3,3,5,0,1,1,1,0,1,1,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,75,58,20,25,25,35,23,0,0,0,15,15,0,0,0,20,20,10,0,0,10,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,0
29,15,S5,Taxi,3,3,3,0,0,2,1,2,3,1,1,1,1,1,1,1,1,1,16500,42000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,65,43,20,25,25,35,18,0,0,0,15,10,0,0,0,20,15,0,10,10,0,0,120,90,90,120,40,5000,10000,0,0,0,0,0,0,1,0
30,15,S7,Taxi,3,3,3,0,0,2,1,2,3,1,1,1,1,1,0,0,1,0,16500,42000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,75,53,20,25,25,35,18,0,0,0,15,15,0,0,0,20,20,10,10,10,10,0,120,90,90,90,50,5000,10000,0,0,0,0,0,0,1,0
31,16,S2,VCAT,5,3,3,1,1,5,5,3,3,1,2,1,1,0,1,1,0,0,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,60,53,20,25,25,35,23,0,0,0,10,10,0,0,0,20,20,0,0,0,0,0,120,120,120,120,50,5000,10000,0,0,0,0,0,0,1,0
32,16,S4,VCAT,5,3,3,1,1,5,5,3,3,1,2,1,1,0,1,0,1,1,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,75,58,20,25,25,35,23,0,0,0,15,15,0,0,0,20,20,10,0,0,10,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,0
33,17,S2,VCAT,5,3,3,0,1,2,4,2,3,0,2,0,1,1,1,1,0,0,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,60,53,20,25,25,35,23,0,0,0,10,10,0,0,0,20,20,0,0,0,0,0,120,120,120,120,50,5000,10000,0,0,0,0,0,0,1,0
34,17,S4,Bus,4,3,3,0,1,2,4,2,3,0,2,0,1,1,0,0,0,1,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,75,58,20,25,25,35,23,0,0,0,10,15,0,0,0,20,20,10,0,0,10,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,0
35,18,S6,Taxi,3,3,3,0,0,3,1,4,1,1,3,0,1,1,1,1,0,0,16500,42000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,60,48,20,25,25,35,18,0,0,0,10,10,0,0,0,20,20,0,10,10,0,0,90,120,120,90,50,5000,10000,0,0,0,0,0,0,1,0
36,18,S6,Bus,4,3,3,0,0,3,1,4,1,1,3,0,1,1,0,0,0,0,16500,42000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,75,53,20,25,25,35,18,0,0,0,10,15,0,0,0,20,20,10,10,10,10,0,90,120,120,120,50,5000,10000,0,0,0,0,0,0,1,0
37,19,S1,VCAT,5,1,1,1,0,1,3,1,1,3,5,1,1,1,0,1,1,1,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,60,43,20,25,25,35,18,0,0,0,10,10,0,0,0,20,15,0,0,0,0,0,90,90,90,90,40,5000,10000,0,0,0,0,0,0,1,0
38,19,S3,Bus,4,1,1,1,0,1,3,1,1,3,5,1,1,1,0,0,1,0,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,75,53,20,25,25,35,23,0,0,0,10,15,0,0,0,20,15,10,0,0,10,0,90,90,90,120,40,5000,10000,0,0,0,0,0,0,1,0
39,20,S6,Bus,4,3,3,1,1,5,2,2,3,3,3,1,1,1,0,1,0,0,16500,42000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,60,48,20,25,25,35,18,0,0,0,15,10,0,0,0,20,20,0,10,10,0,0,90,120,120,90,50,5000,10000,0,0,0,0,0,0,1,0
40,20,S8,VCAT,5,3,3,1,1,5,2,2,3,3,3,1,1,1,0,0,1,1,16500,42000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,75,53,20,25,25,35,18,0,0,0,15,15,0,0,0,20,20,10,10,10,10,0,90,120,120,120,50,5000,10000,0,0,0,0,0,0,1,0
41,21,S2,VCAT,5,3,3,0,0,2,2,2,3,1,5,1,1,0,1,1,0,0,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,60,53,20,25,25,35,23,0,0,0,10,10,0,0,0,20,20,0,0,0,0,0,120,120,120,120,50,5000,10000,0,0,0,0,0,0,1,0
42,21,S4,Taxi,3,3,3,0,0,2,2,2,3,1,5,1,1,0,1,0,0,1,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,75,58,20,25,25,35,23,0,0,0,15,15,0,0,0,20,20,10,0,0,10,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,0
43,22,S1,VCAT,5,3,3,1,1,3,4,3,3,1,5,1,1,0,0,1,1,1,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,60,43,20,25,25,35,18,0,0,0,10,10,0,0,0,20,15,0,0,0,0,0,90,90,90,90,40,5000,10000,0,0,0,0,0,0,1,0
44,22,S3,Taxi,3,3,3,1,1,3,4,3,3,1,5,1,1,0,0,0,1,0,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,75,53,20,25,25,35,23,0,0,0,15,15,0,0,0,20,15,10,0,0,10,0,90,90,90,120,40,5000,10000,0,0,0,0,0,0,1,0
45,23,S2,VCAT,5,1,1,1,1,4,4,2,1,0,5,1,1,1,1,1,0,0,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,60,53,20,25,25,35,23,0,0,0,10,10,0,0,0,20,20,0,0,0,0,0,120,120,120,120,50,5000,10000,0,0,0,0,0,0,1,0
46,23,S4,Taxi,3,1,1,1,1,4,4,2,1,0,5,1,1,1,1,0,0,1,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,75,58,20,25,25,35,23,0,0,0,15,15,0,0,0,20,20,10,0,0,10,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,0
47,24,S2,Taxi,3,2,2,0,0,1,3,1,1,1,4,0,1,0,1,1,0,0,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,60,53,20,25,25,35,23,0,0,0,10,10,0,0,0,20,20,0,0,0,0,0,120,120,120,120,50,5000,10000,0,0,0,0,0,0,1,0
48,24,S4,VCAT,5,2,2,0,0,1,3,1,1,1,4,0,1,0,1,0,1,1,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,75,58,20,25,25,35,23,0,0,0,15,15,0,0,0,20,20,10,0,0,10,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,0
49,25,S2,Taxi,3,1,1,0,1,3,1,2,2,0,3,1,1,0,1,1,0,0,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,60,53,20,25,25,35,23,0,0,0,10,10,0,0,0,20,20,0,0,0,0,0,120,120,120,120,50,5000,10000,0,0,0,0,0,0,1,0
50,25,S4,Bus,4,1,1,0,1,3,1,2,2,0,3,1,1,0,0,0,0,1,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,75,58,20,25,25,35,23,0,0,0,10,15,0,0,0,20,20,10,0,0,10,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,0
51,26,S2,VCAT,5,2,2,0,1,3,1,2,1,1,2,1,1,1,1,1,0,0,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,60,53,20,25,25,35,23,0,0,0,10,10,0,0,0,20,20,0,0,0,0,0,120,120,120,120,50,5000,10000,0,0,0,0,0,0,1,0
52,26,S4,Bus,4,2,2,0,1,3,1,2,1,1,2,1,1,1,0,0,0,1,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,75,58,20,25,25,35,23,0,0,0,10,15,0,0,0,20,20,10,0,0,10,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,0
53,27,S3,Bus,4,2,2,0,1,2,1,2,1,1,4,1,0,0,0,0,0,0,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,60,53,20,25,25,35,23,0,0,0,15,10,0,0,0,20,20,0,0,0,0,0,120,120,120,120,50,5000,10000,0,0,0,0,0,0,1,0
54,27,S4,Car,2,2,2,0,1,2,1,2,1,1,4,1,0,0,1,0,0,1,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,75,58,20,25,25,35,23,0,0,0,15,15,0,0,0,20,20,10,0,0,10,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,0
55,28,S2,Taxi,3,1,1,1,0,2,4,4,3,1,4,1,1,1,1,1,0,0,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,60,53,20,25,25,35,23,0,0,0,10,10,0,0,0,20,20,0,0,0,0,0,120,120,120,120,50,5000,10000,0,0,0,0,0,0,1,0
56,28,S4,Car,2,1,1,1,0,2,4,4,3,1,4,1,1,1,1,0,0,1,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,75,58,20,25,25,35,23,0,0,0,15,15,0,0,0,20,20,10,0,0,10,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,0
57,29,S2,Taxi,3,1,1,0,0,2,3,4,2,1,5,1,1,1,1,1,0,0,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,60,53,20,25,25,35,23,0,0,0,10,10,0,0,0,20,20,0,0,0,0,0,120,120,120,120,50,5000,10000,0,0,0,0,0,0,1,0
58,29,S4,VCAT,5,1,1,0,0,2,3,4,2,1,5,1,1,1,1,0,1,1,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,75,58,20,25,25,35,23,0,0,0,15,15,0,0,0,20,20,10,0,0,10,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,0
59,30,S3,Bus,4,2,2,1,1,3,1,3,2,2,5,1,1,1,0,0,0,0,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,60,53,20,25,25,35,23,0,0,0,15,10,0,0,0,20,20,0,0,0,0,0,120,120,120,120,50,5000,10000,0,0,0,0,0,0,1,0
60,30,S4,Car,2,2,2,1,1,3,1,3,2,2,5,1,1,1,1,0,0,1,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,75,58,20,25,25,35,23,0,0,0,15,15,0,0,0,20,20,10,0,0,10,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,0
61,31,S2,VCAT,5,1,1,0,0,3,2,3,3,2,4,1,1,1,1,1,0,0,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,60,53,20,25,25,35,23,0,0,0,10,10,0,0,0,20,20,0,0,0,0,0,120,120,120,120,50,5000,10000,0,0,0,0,0,0,1,0
62,31,S4,VCAT,5,1,1,0,0,3,2,3,3,2,4,1,1,1,1,0,1,1,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,75,58,20,25,25,35,23,0,0,0,15,15,0,0,0,20,20,10,0,0,10,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,0
63,32,S2,Car,2,2,2,1,1,3,1,4,2,1,4,1,1,1,1,1,0,0,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,60,53,20,25,25,35,23,0,0,0,10,10,0,0,0,20,20,0,0,0,0,0,120,120,120,120,50,5000,10000,0,0,0,0,0,0,1,0
64,32,S4,Bus,4,2,2,1,1,3,1,4,2,1,4,1,1,1,0,0,0,1,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,75,58,20,25,25,35,23,0,0,0,10,15,0,0,0,20,20,10,0,0,10,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,0
65,33,S2,VCAT,5,1,1,1,1,5,1,4,3,2,4,1,1,1,1,1,0,0,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,60,53,20,25,25,35,23,0,0,0,10,10,0,0,0,20,20,0,0,0,0,0,120,120,120,120,50,5000,10000,0,0,0,0,0,0,1,0
66,33,S4,Car,2,1,1,1,1,5,1,4,3,2,4,1,1,1,1,0,0,1,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,75,58,20,25,25,35,23,0,0,0,15,15,0,0,0,20,20,10,0,0,10,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,0
67,34,S2,VCAT,5,1,1,1,1,5,2,4,3,3,5,1,1,1,1,1,0,0,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,60,53,20,25,25,35,23,0,0,0,10,10,0,0,0,20,20,0,0,0,0,0,120,120,120,120,50,5000,10000,0,0,0,0,0,0,1,0
68,34,S4,Bus,4,1,1,1,1,5,2,4,3,3,5,1,1,1,0,0,0,1,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,75,58,20,25,25,35,23,0,0,0,10,15,0,0,0,20,20,10,0,0,10,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,0
69,35,S2,Car,2,1,1,0,1,2,4,3,3,1,5,1,1,1,1,1,0,0,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,60,53,20,25,25,35,23,0,0,0,10,10,0,0,0,20,20,0,0,0,0,0,120,120,120,120,50,5000,10000,0,0,0,0,0,0,1,0
70,35,S4,Taxi,3,1,1,0,1,2,4,3,3,1,5,1,1,1,1,0,0,1,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,75,58,20,25,25,35,23,0,0,0,15,15,0,0,0,20,20,10,0,0,10,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,0
71,36,S2,VCAT,5,1,1,0,0,2,3,3,2,1,4,1,1,1,1,1,0,0,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,60,53,20,25,25,35,23,0,0,0,10,10,0,0,0,20,20,0,0,0,0,0,120,120,120,120,50,5000,10000,0,0,0,0,0,0,1,0
72,36,S4,Car,2,1,1,0,0,2,3,3,2,1,4,1,1,1,1,0,0,1,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,75,58,20,25,25,35,23,0,0,0,15,15,0,0,0,20,20,10,0,0,10,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,0
73,37,S3,Bus,4,1,1,0,1,5,2,3,1,1,4,1,1,1,0,0,0,0,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,60,53,20,25,25,35,23,0,0,0,15,10,0,0,0,20,20,0,0,0,0,0,120,120,120,120,50,5000,10000,0,0,0,0,0,0,1,0
74,37,S4,Taxi,3,1,1,0,1,5,2,3,1,1,4,1,1,1,1,0,0,1,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,75,58,20,25,25,35,23,0,0,0,15,15,0,0,0,20,20,10,0,0,10,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,0
75,38,S5,Taxi,3,1,1,0,0,2,1,1,1,0,5,1,1,1,1,1,1,1,16500,42000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,65,43,20,25,25,35,18,0,0,0,15,10,0,0,0,20,15,0,10,10,0,0,120,90,90,120,40,5000,10000,0,0,0,0,0,0,1,0
76,38,S6,Bus,4,1,2,0,0,2,1,1,1,0,5,1,1,1,0,0,0,0,16500,42000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,75,53,20,25,25,35,18,0,0,0,10,15,0,0,0,20,20,10,10,10,10,0,120,90,90,90,50,5000,10000,0,0,0,0,0,0,1,0
77,39,S2,VCAT,5,2,2,0,0,2,5,2,1,0,3,1,1,0,1,1,0,0,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,60,53,20,25,25,35,23,0,0,0,10,10,0,0,0,20,20,0,0,0,0,0,120,120,120,120,50,5000,10000,0,0,0,0,0,0,1,0
78,39,S4,Taxi,3,2,2,0,0,2,5,2,1,0,3,1,1,0,1,0,0,1,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,75,58,20,25,25,35,23,0,0,0,15,15,0,0,0,20,20,10,0,0,10,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,0
79,40,S2,VCAT,5,2,2,0,1,2,1,2,3,0,3,0,1,1,1,1,0,0,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,60,53,20,25,25,35,23,0,0,0,10,10,0,0,0,20,20,0,0,0,0,0,120,120,120,120,50,5000,10000,0,0,0,0,0,0,1,0
80,40,S4,Bus,4,2,2,0,1,2,1,2,3,0,3,0,1,1,0,0,0,1,16500,42000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,75,58,20,25,25,35,23,0,0,0,10,15,0,0,0,20,20,10,0,0,10,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,0
